Pressure (bar),Temperature (0 C),Cat_MolLogP,An_BalabanJ,Cat_EState_VSA9,Anion_pKa,Cat_VSA_EState3,An_Ipc,Cat_Chi0n,Cat_SMR_VSA5,Cat_EState_VSA2,Cat_Chi2n,Cat_EState_VSA8,Cat_Chi4v,Cat_BCUT2D_LOGPLOW,Cat_Chi2v,Cat_TPSA,Cat_BCUT2D_MRHI,An_Chi3n,An_PEOE_VSA3
4.58,50.0,0.3325,7.871070033,0.0,-16.0,0.0,24070.33516,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,2.82098763,0.0
20.0,23.85,0.3325,5.284512596,0.0,-11.0,0.0,484.0282471,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.781235864,16.83559397
35.5,24.98,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
11.93,40.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
1.01,30.0,5.4242,5.284512596,0.0,-11.0,0.0,484.0282471,11.51828141,66.21987854,0.0,4.781697835,27.6949488,5.557456999,-2.068398149,9.8095596,0.0,7.753097329,0.781235864,16.83559397
7.93,25.0,1.8929,3.817887676,0.0,-5.0,0.0,34.39946188,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.335410197,15.78567466
9.0,50.0,4.6018,3.201515931,0.0,-2.8,0.0,230.7347201,11.30058475,41.5424232,0.0,6.348766799,48.2072488,8.604735754,-2.163380675,10.6832193,0.0,7.747432549,1.309658078,8.417796984
6.5,50.0,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
17.497,74.85,-0.7518,2.803039488,0.0,-1.4,0.0,3.245112498,2.414213562,6.9237372,0.0,0.5,5.733667477,0.0,-2.477866841,0.5,27.64,3.792548982,0.0,0.0
4.94,80.1,0.3325,3.817887676,0.0,-5.0,0.0,34.39946188,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.335410197,15.78567466
0.975,20.0,1.6762,3.311835207,0.0,2.17,0.0,312.6461024,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,1.310104925,0.0
1.0,23.0,-1.919,2.539538861,0.0,12.4,7.065509259,9.651484454,6.929961097,6.420821623,0.0,3.122569598,22.36577784,1.618181699,-3.187158748,3.122569598,32.07,5.790505051,0.101015254,4.390415048
2.04,45.05,0.3325,3.602196822,0.0,-3.0,0.0,18.14170945,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.262188697,8.417796984
11.0,50.0,2.86282,5.284512596,0.0,-10.0,0.0,484.0282471,8.792148578,46.0755173,0.0,3.679790875,42.94099533,1.513228577,-2.323264573,3.679790875,3.88,5.006185056,0.781235864,16.83559397
0.5,60.0,3.3819,5.284512596,0.0,-11.0,0.0,484.0282471,13.08428147,41.5424232,0.0,4.562690681,56.24215239,2.676961958,-2.2266367,4.562690681,9.72,6.087211922,0.781235864,16.83559397
2.98,45.09,3.6387,2.857271683,0.0,1.5,0.0,11.2451125,14.9127086,65.21404738,0.0,6.197222885,56.41350765,2.736369693,-2.434959524,6.197222885,9.49,5.735508279,0.1,0.0
86.2,44.3,1.1127,3.023715784,0.0,-0.4,0.0,3.609640474,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
26.78,87.54,1.1127,2.803039488,0.0,-1.4,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
