Pressure (bar),Temperature (0 C),Cat_MolLogP,Cat_EState_VSA2,An_TPSA,Cat_VSA_EState3,An_AvgIpc,An_SlogP_VSA1,Cat_TPSA,Cat_EState_VSA9,Cat_BCUT2D_LOGPLOW,Cat_NumHDonors,Cat_SMR_VSA5,Cat_SMR_VSA1,Cat_PEOE_VSA1,Cat_NHOHCount,Cat_EState_VSA8,Cat_Chi4v,An_BalabanJ,An_PEOE_VSA3
13.0,25.0,1.1127,0.0,0.0,0.0,0.5916727785823274,0.0,8.809999999999999,0.0,-2.3001964061062865,0,26.31013685145522,4.567099647791355,0.0,0,34.77894371326403,0.9746726803266176,4.4312936752559775,0.0
9.93,35.0,2.2830000000000004,0.0,71.37,0.0,1.719973094021975,0.0,8.809999999999999,0.0,-2.2327537936026767,0,45.57260172023325,4.567099647791355,0.0,0,41.826615695941214,1.5319155867864616,3.817887676392501,15.78567466421546
7.0,40.0,1.69252,0.0,82.38,0.0,1.7729972421530646,0.0,3.88,0.0,-2.3187405551819498,0,26.813052428219837,4.567099647791355,0.0,0,42.94099532732197,1.0502731863012191,5.284512595565851,16.835593968657875
9.998,40.0,1.8828,0.0,82.38,0.0,1.1431558784658322,0.0,0.0,0.0,-2.434034061192717,0,27.19203322199788,4.483030857694624,4.483030857694624,0,27.818883581749063,1.0796691275336334,4.458227081550905,16.835593968657875
40.0,30.0,5.424200000000006,0.0,82.38,0.0,1.7729972421530646,0.0,0.0,0.0,-2.0683981486772365,0,66.21987853631855,0.0,0.0,0,27.694948798762496,5.557456999215363,5.284512595565851,16.835593968657875
0.25,65.01000000000005,2.807100000000001,0.0,82.38,0.0,1.7729972421530646,0.0,0.0,0.0,-2.4094634728617343,0,45.448666937246685,4.483030857694624,4.483030857694624,0,13.971409182367816,2.2427591308217663,5.284512595565851,16.835593968657875
0.0491,25.0,0.64092,0.0,82.38,0.0,1.7729972421530646,0.0,8.809999999999999,0.0,-2.2902569051558315,0,20.392230805293824,4.567099647791355,0.0,0,42.4230328208673,0.9330493344624458,5.284512595565851,16.835593968657875
0.999,25.0,1.1127,0.0,82.38,0.0,1.7729972421530646,0.0,8.809999999999999,0.0,-2.3001964061062865,0,26.31013685145522,4.567099647791355,0.0,0,34.77894371326403,0.9746726803266176,5.284512595565851,16.835593968657875
0.59,10.0,1.6762,0.0,94.83,0.0,2.3932748533488946,10.84019487200289,8.809999999999999,0.0,-2.299474093948872,0,26.31013685145522,4.567099647791355,0.0,0,24.266616102693558,0.9918086908956868,2.4987607772382443,4.9839785209472085
10.93,80.10000000000002,1.8929,0.0,71.37,0.0,1.719973094021975,0.0,8.809999999999999,0.0,-2.3014905192567245,0,39.15178009730723,4.567099647791355,0.0,0,41.82661569594122,1.3551388914898248,3.817887676392501,15.78567466421546
